Text
"DORNBIRN In der Fischbachgasse 45a in Dornbirn hat eine 80,36 Quadratmeter große Wohnung (Baujahr 1973) mit 4,83 Quadratmetern Balkon den Besitzer gewechselt. Verkauft wurde das Objekt durch eine Privatperson um 260.000 Euro, Käufer ist die LOEK GmbH. Der Quadratmeterpreis der Wohnung liegt bei 3235,44 Euro. Unterzeichnet wurde der Kaufvertrag am 10. November. Die Verbücherung datiert mit Jänner 2022."
GÖTZIS Die Hilti & Jehle GmbH hat in der Bleiche ein 1526 Quadratmeter großes Grundstück für 1.083.460 Euro erworben. Verkäufer des Bodens mit einer Baufläche-Mischgebiet-Widmung ist eine Privatperson. Der Quadratmeterpreis für das Grundstück liegt laut Grundbuch bei 710 Euro. Unterzeichnet wurde der Kaufvertrag am 12. März. Die Verbücherung datiert mit April 2020.
"DORNBIRN Im Bereich Primelweg in Dornbirn hat ein Grundstück den Besitzer gewechselt. Sowohl Verkäufer als auch Käufer sind Privatpersonen. Das Grundstück mit einer Baufläche-Wohngebiet-Widmung hat eine Fläche von 615 Quadratmeter. Der Quadratmeterpreis des Bodens liegt bei 650,4 Euro. Unterzeichnet wurde der Kaufvertrag am 2. April. Die Verbücherung datiert mit Mai 2021."
"Das etwas teurere der beiden Gebäude (9,7 Millionen Euro) steht auf einem lediglich 587 Quadratmeter großen Grundstück. Verkäufer ist ein Vorarlberger Unternehmer. Als neuer Eigentümer der exklusiven Immobilie scheint mit der Vertragsunterzeichnung im April 2019 (Verbücherung im Juli) ein internationaler Finanzinvestor (Norwegen) im Grundbuch auf."
"Kaum weniger tief musste ein bekannter deutscher Industrieller in die Tasche greifen. Für 9,5 Millionen erwarb der Unternehmer eine rund 1000 Quadratmeter große Liegenschaft, die mit einem 199 Quadratmeter großen Haus bebaut ist. Verkäufer ist eine Privatperson. Die Vertragsunterzeichnung datiert mit 3. Juni 2019. Die Verbücherung erfolgte im Juli. Beide Grundstücke haben eine Baufläche-Wohngebiet-Widmung."
"HÖRBRANZ In der Lochauer Straße 12b in Hörbranz hat eine 66,44 Quadratmeter große Wohnung (Baujahr 2019) für einen Quadratmeterpreis von 5343,17 Euro den Besitzer gewechselt. Dieser beinhaltet auch einen Pkw-Abstellplatz. Käufer der Wohnung mit 11,12 Quadratmetern Terrasse ist eine Privatperson. Beim Verkäufer handelt es sich um mehrere Privatpersonen.  Der Kaufpreis liegt bei 355.000 Euro. Unterzeichnet wurde der Kaufvertrag am 4. Oktober. Die Verbücherung datiert mit Oktober 2021."
LOCHAU In der Auf der Reute in Lochau wurde ein Einfamilienhaus mit einer Baufläche von 129 Quadratmeter um 2.712.500 Euro verkauft. Das dazugehörige Grundstück umfasst 1085 Quadratmeter. Käufer des Gebäudes mit einer Baufläche-Wohngebiet-Widmung ist die HBB Immobilienverwaltng KG. Beim Verkäufer handelt es sich um eine Privatperson. Unterzeichnet wurde der Kaufvertrag am 27. Mai. Die Verbücherung datiert mit August 2020.
FELDKIRCH In der Novalgasse in Feldkirch hat ein 82 Quadratmeter großes Gebäude den Besitzer gewechselt. Sowohl Verkäufer als auch Käufer sind Privatpersonen. Das dazugehörige Grundstück mit einer Baufläche-Wohngebiet-Widmung hat eine Fläche von 481 Quadratmeter. Unterzeichnet wurde der Kaufvertrag am 16. Juli. Die Verbücherung datiert mit August 2020.
"DORNBIRN Im Bereich Vordere Achmühlerstraße in Dornbirn hat ein 483 Quadratmeter großes bebautes Grundstück (mit abbruchreifem Gebäude) den Besitzer gewechselt. Verkauft wurde die Liegenschaft durch die wohn-form.at Gastronomie und Immobilien Invest GmbH um 470.000 Euro, Käufer ist die Schmelzenbach Immobilien GmbH. Das Grundstück hat eine Baufläche-Mischgebiet-Widmung. Der Quadratmeterpreis des Bodens liegt laut Grundbuch bei 973,08 Euro. Unterzeichnet wurde der Kaufvertrag am 15. April. Die Verbücherung datiert mit August 2020."
HÖCHST Im Bereich Lettenstraße in Höchst wurde ein Grundstück mit einer Gesamtfläche von 841 Quadratmeter um 605.520 Euro verkauft. Käufer wie auch Verkäufer des Bodens mit einer Baufläche-Mischgebiet-Widmung sind Privatpersonen. Der Quadratmeterpreis des Bodens beträgt 720 Euro. Unterzeichnet wurde der Kaufvertrag am 27. August. Die Verbücherung datiert mit November 2020.
"RANKWEIL In Rankweil in der Schützenstraße hat ein Gebäude mit 294 Quadratmetern Baufläche auf einem 1826 Quadratmeter großen Grundstück für 1,77 Millionen Euro den Besitzer gewechselt. Beim Käufer handelt es sich um die Nägele Wohn- und Projektbau GmbH. Der Verkäufer ist eine Privatperson. Unterzeichnet wurde der Kaufvertrag am 5. Juni. Die Verbücherung datiert im Juni 2020."
"DORNBIRN In der Bergmannstraße in Dornbirn wurde eine knapp 48 Quadratmeter große Wohnung inklusive Kellerabteil verkauft. Quadratmeterpreis für die Wohnung mit dem Baujahr 1967: 2927,64 Euro. Bei Käufer und Verkäufer handelt es sich um Privatpersonen. Der Kaufvertrag wurde am 2. Juli unterschrieben. Die Verbücherung erfolgte im September."
"HOHENEMS In der Radetzkystraße in Hohenems hat eine 84,98 Quadratmeter große Wohnung mit 19,23 Quadratmetern Balkon den Besitzer gewechselt. Verkauft wurde das Objekt durch die GARTENLAND Wohnbau GmbH um 371.700 Euro, Käufer ist eine Privatperson. Der Quadratmeterpreis der Wohnung liegt bei 4373,97 Euro. Unterzeichnet wurde der Kaufvertrag am 12. April. Die Verbücherung datiert mit Mai 2021."
"HOHENEMS Ein Gebäude in der Radetzkystraße in Hohenems mit einer Baufläche von 527 Quadratmeter hat für 1.650.000 Euro den Besitzer gewechselt. Das dazugehörige Grundstück ist 2214 Quadratmeter groß. Käufer des Gebäudes mit einer Baufläche-Mischgebiet-Widmung ist die Canbau GmbH. Beim Verkäufer handelt es sich um eine Privatperson. Der Kaufvertrag wurde am 28. Mai unterzeichnet, die Verbücherung datiert mit Juli 2020."
FRASTANZ Im Einliserfeldweg in Frastanz hat ein 207 Quadratmeter großes Gebäude den Besitzer gewechselt. Sowohl Verkäufer als auch Käufer sind Privatpersonen. Das dazugehörige Grundstück mit einer Baufläche-Wohngebiet-Widmung hat eine Fläche von 878 Quadratmeter. Unterzeichnet wurde der Kaufvertrag am 23. Juni. Die Verbücherung datiert mit August 2020.
"RANKWEIL Im Bereich Walgaustraße in Rankweil hat ein Grundstück den Besitzer gewechselt. Verkauft wurde der Grund um 820.056 Euro durch eine Privatperson, Käufer ist die PRISMA Standort Investment GmbH. Das Grundstück mit einer Baufläche-Mischgebiet-Widmung hat eine Fläche von 727 Quadratmeter. Der Quadratmeterpreis des Bodens liegt bei 1128 Euro. Unterzeichnet wurde der Kaufvertrag am 20. Jänner. Die Verbücherung datiert mit Februar 2021."
"SCHWARZACH In der Kapellenstraße in Schwarzach hat eine 96,5 Quadratmeter große Dachgeschosswohnung mit 31,15 Quadratmetern Terrasse den Besitzer gewechselt. Verkauft wurde das Objekt durch die BARTA Architektur und Projektbau GmbH um 706.390 Euro, Käufer ist eine Privatperson. Der Quadratmeterpreis der Wohnung liegt bei 7320,1 Euro. Dieser beinhaltet auch einen Pkw-Abstellplatz. Unterzeichnet wurde der Kaufvertrag am 25. Februar. Die Verbücherung datiert mit Mai 2021."
DORNBIRN Im Watzenegg in Dornbirn hat ein Einfamilienhaus mit 110 Quadratmeter Baufläche den Besitzer gewechselt. Käufer des Wohnhauses ist eine Privatperson. Beim Verkäufer handelt es sich um mehrere Privatpersonen. Das Grundstück mit einer Baufläche-Wohngebiet-Widmung hat eine Fläche von 821 Quadratmeter. Unterzeichnet wurde der Kaufvertrag am 15. April. Die Verbücherung datiert mit Juli 2021.
"DORNBIRN In der Schwefelquelle 6 in Dornbirn hat eine 64,34 Quadratmeter große Wohnung (Baujahr 1996) für einen Quadratmeterpreis von 4507,3 Euro den Besitzer gewechselt. Dieser beinhaltet auch einen Pkw-Abstellplatz. Käufer der Wohnung sind mehrere Privatpersonen. Beim Verkäufer handelt es sich um eine Privatperson.  Der Kaufpreis liegt bei 290.000 Euro. Unterzeichnet wurde der Kaufvertrag am 7. Dezember. Die Verbücherung datiert mit Februar 2021."
"GÖFIS Im Bereich der Römerstraße in Göfis wurde ein Grundstück mit einer Gesamtfläche von 1214 Quadratmeter um 560.000 Euro verkauft. Käufer wie auch Verkäufer des Bodens mit einer Baufläche-Mischgebiet-Widmung sind Privatpersonen. Der Quadratmeterpreis des Bodens beträgt 470,19 Euro. Unterzeichnet wurde der Kaufvertrag am 4. September. Die Verbücherung datiert mit Oktober 2020."
"ZÜRS In Zürs 280 wurde eine Wohnung mit einer Nutzfläche von 103,49 Quadratmetern um 2.167.000 Euro verkauft. Käufer wie auch Verkäufer der Wohnung mit einem Balkon sind Privatpersonen. Der Quadratmeterpreis der Wohnung beträgt 20939,22 Euro. Unterzeichnet wurde der Kaufvertrag am 29. April. Die Verbücherung datiert mit Juni 2020."
SULZBERG In Sulzberg hat ein 145 Quadratmeter großes Haus im Wolfbühl den Besitzer gewechselt. Das Haus steht auf einem 1209 Quadratmeter großen Grundstück in ruhiger Wohnlage. Beim Käufer sowie beim Verkäufer handelt es sich um eine Privatperson. Gewidmet ist der Boden als Baufläche Wohngebiet. Die Vertragsunterzeichnung war am 25.04.2019. Die Verbücherung erfolgte im Juni 2019.
"FELDKIRCH Im Bereich der Rappenwaldstraße in Feldkirch wurde ein Grundstück mit der Fläche von 3298 Quadratmetern um 500.000 Euro verkauft. Käufer des Bodens mit einer Baufläche-Wohngebiet-Widmung ist die TB17 GmbH. Beim Verkäufer handelt es sich um eine Privatperson. Der Quadratmeterpreis des Bodens beträgt 151,6 Euro. Unterzeichnet wurde der Kaufvertrag am 29. Mai. Die Verbücherung datiert mit Juli 2020."
FRASTANZ In der Kreuzgasse in Frastanz hat ein Gebäude mit 192 Quadratmeter Baufläche auf einem 1066 Quadratmeter großen Grund einen neuen Eigentümer. Käufer der Immobilie mit einer Baufläche-Wohngebiet-Widmung ist die Keckeis Installations GmbH. Beim Verkäufer handelt es sich um eine Privatperson. Der Kaufpreis liegt bei 850.000 Euro. Unterzeichnet wurde der Kaufvertrag am 4. November. Die Verbücherung datiert mit Dezember 2021.
"KLAUS-WEILER Am Lurabühel in Klaus-Weiler wurde eine Wohnung mit einer Nutzfläche von 77,4 Quadratmeter um 452.400 Euro verkauft. Käufer der Wohnung mit 22,94 Quadratmeter Balkon ist die Loacker Immobilien Verwaltungs GmbH. Beim Verkäufer handelt es sich um die ML Liegenschafts GmbH.  Der Quadratmeterpreis der Wohnung beträgt 4870,8 Euro. Dieser beinhaltet zwei Pkw-Stellplätze. Unterzeichnet wurde der Kaufvertrag am 18. September. Die Verbücherung datiert mit Oktober 2020."
"LAUTERACH In der Quellengasse 19 in Lauterach wurde eine Wohnung mit einer Nutzfläche von 50,05 Quadratmeter um 282.800 Euro verkauft. Käufer der Wohnung mit 14,66 Quadratmeter Terrasse ist eine Privatperson. Beim Verkäufer handelt es sich um die Greif & Sohm Immobilien und Projektbau GmbH.  Der Quadratmeterpreis der Wohnung beträgt 5650,35 Euro. Unterzeichnet wurde der Kaufvertrag am 6. August. Die Verbücherung datiert mit September 2020."
"EGG Im Stadlermöser in Egg hat eine 88,11 Quadratmeter große Wohnung für einen Quadratmeterpreis von 4743,72 Euro den Besitzer gewechselt. Käufer der Wohnung mit 17,17 Quadratmetern Terrasse ist eine Privatperson. Beim Verkäufer handelt es sich um die planDrei Wohnbau GmbH. Der Kaufpreis liegt bei 417.970 Euro. Unterzeichnet wurde der Kaufvertrag am 28. Juni. Die Verbücherung datiert mit August 2021."
HÖRBRANZ Im Bereich Römerstraße in Hörbranz wurde ein bebautes Grundstück (Gebäude wird abgetragen) mit einer Gesamtfläche von 917 Quadratmeter um 880.320 Euro verkauft. Käufer des Bodens mit einer Baufläche-Wohngebiet-Widmung ist die Q21 GmbH. Beim Verkäufer handelt es sich um mehrere Privatpersonen.  Der Quadratmeterpreis des Bodens beträgt 960 Euro. Unterzeichnet wurde der Kaufvertrag am 1. Juni. Die Verbücherung datiert mit August 2021.
"HOHENWEILER Ein Gebäude im Fesslers in Hohenweiler mit einer Baufläche von 857 Quadratmeter hat für 770.000 Euro den Besitzer gewechselt. Das dazugehörige Grundstück (Widmung: Mischgebiet mit landwirtschaftlichen Bauten) ist 2599 Quadratmeter groß. Käufer der Immobilie ist die ZM 3 Immobiliengesellschaft mbH. Beim Verkäufer handelt es sich um eine Privatperson. Der Kaufvertrag wurde am 10. Juni unterzeichnet, die Verbücherung datiert mit August 2020."
NÜZIDERS Im Hag in Nüziders wurde ein 98 Quadratmeter großes Reihenhaus auf einer Grundstücksfläche von 413 Quadratmetern um 520.000 Euro verkauft. Bei den Käufern und Verkäufern handelt es sich um Privatpersonen. Der Kaufvertrag wurde am 23. Juli unterzeichnet. Die Verbücherung datiert im September.
FELDKIRCH In der Länglegasse in Feldkirch wurde ein Gebäude mit einer Baufläche von 142 Quadratmeter um 411.000 Euro verkauft. Das dazugehörige Grundstück ist 625 Quadratmeter groß. Käufer wie auch Verkäufer der Immobilie mit einer Baufläche-Kerngebiet-Widmung sind Privatpersonen. Unterzeichnet wurde der Kaufvertrag am 27. August. Die Verbücherung datiert mit Oktober 2020.
BARTHOLOMÄBERG In Bartholomäberg ist im Bereich Luttweg ein 95 Quadratmeter großes Haus auf einem 319 Quadratmeter großen Grundstück für 612.200 Euro verkauft worden. Käufer und Verkäufer sind laut Grundbuch Privatpersonen. Unterzeichnet wurde der Kaufvertrag am 5. August. Die Verbücherung erfolgte im November.
"BREGENZ In der Strabonstraße 20 in Bregenz hat eine 75,75 Quadratmeter große Wohnung (Baujahr 1992) für einen Quadratmeterpreis von 4118,81 Euro den Besitzer gewechselt. Bei Käufer und Verkäufer der Wohnung handelt es sich um Privatpersonen. Der Kaufpreis liegt bei 312.000 Euro. Unterzeichnet wurde der Kaufvertrag am 2. November. Die Verbücherung datiert mit Dezember 2020."
LOCHAU In Lochau in der Altreute hat ein 158 Quadratmeter großes Gebäude auf einem 805 Quadratmeter großen Grund für 800.000 Euro seinen Besitzer gewechselt. Bei Verkäufer und Käufer handelt es sich um Privatpersonen. Der Kaufvertrag wurde am 16. Dezember unterzeichnet und die Verbücherung datiert mit Juni 2020.
"FELDKIRCH In der Reichsstraße 39 in Feldkirch hat eine 77,72 Quadratmeter große Wohnung für einen Quadratmeterpreis von 5725,68 Euro den Besitzer gewechselt. Dieser beinhaltet zwei Pkw-Stellplätze. Käufer der Wohnung mit 12,5 Quadratmetern Balkon ist eine Privatperson, Verkäufer ist die i + R Wohnbau GmbH.  Der Kaufpreis liegt bei 445.000 Euro. Unterzeichnet wurde der Kaufvertrag am 3. September. Die Verbücherung datiert mit November 2020."
"LUSTENAU In der Steinackerstraße 26 in Lustenau hat eine 93,8 Quadratmeter große Wohnung für einen Quadratmeterpreis von 4584,22 Euro den Besitzer gewechselt. Dieser beinhaltet auch einen Pkw-Abstellplatz. Bei Käufer und Verkäufer der Wohnung mit 22,26 Quadratmetern Terrasse handelt es sich um Privatpersonen. Der Kaufpreis liegt bei 430.000 Euro. Unterzeichnet wurde der Kaufvertrag am 6. Juli. Die Verbücherung datiert mit Jänner 2021."
"GÖTZIS Im Bereich Stegenwies in Götzis hat ein Grundstück den Besitzer gewechselt. Verkauft wurde der Grund um 1.304.100 Euro durch die Hilti & Jehle GmbH, Käufer ist die ToP Immobilien GmbH. Das Grundstück mit einer Baufläche-Mischgebiet-Widmung hat eine Fläche von 1526 Quadratmeter. Der Quadratmeterpreis des Bodens liegt bei 854,58 Euro. Unterzeichnet wurde der Kaufvertrag am 23. Dezember. Die Verbücherung datiert mit Februar 2021."
SCHRUNS Auf der Litz in Schruns wurde ein Gebäude mit einer Baufläche von 218 Quadratmetern um 730.000 Euro verkauft. Das dazugehörige Grundstück ist 1123 Quadratmeter groß. Käufer wie auch Verkäufer der Immobilie mit einer Baufläche-Wohngebiet-Widmung sind Privatpersonen.  Unterzeichnet wurde der Kaufvertrag am 4. Mai. Die Verbücherung datiert mit August 2021.
BREGENZ In der Arlbergstraße in Bregenz wurde ein Geschäftslokal (Tankstelle) mit einer Baufläche von 286 Quadratmetern auf einem 2237 Quadratmeter großen Grund um 1.839.850 Euro verkauft. Käufer des Geschäftslokals ist die Prisma Regio Investment GmbH. Beim Verkäufer handelt es sich um die BP Europa SE.  Unterzeichnet wurde der Kaufvertrag am 19. November. Die Verbücherung datiert mit Dezember 2020.
"BREGENZ In der Gallusstraße 51 in Bregenz hat eine 111,28 Quadratmeter große Wohnung für einen Quadratmeterpreis von 3145,21 Euro den Besitzer gewechselt. Dieser beinhaltet auch einen Pkw-Abstellplatz. Bei Käufer und Verkäufer der Wohnung mit 6 Quadratmeter Terrasse handelt es sich um Privatpersonen. Der Kaufpreis liegt bei 350.000 Euro. Unterzeichnet wurde der Kaufvertrag am 18. August. Die Verbücherung datiert mit Oktober 2020."
"RANKWEIL In der Montfortstraße in Rankweil wurde eine Wohnung mit einer Nutzfläche von 105,81 Quadratmetern um 654.252 Euro verkauft. Käufer der Wohnung mit 192,83 Quadratmetern Garten und 67,69 Quadratmetern Terrasse sind mehrere Privatpersonen. Beim Verkäufer handelt es sich um die Nägele Wohn- und Projektbau GmbH.  Der Quadratmeterpreis der Wohnung beträgt 6183,27 Euro. Unterzeichnet wurde der Kaufvertrag am 29. Juni. Die Verbücherung datiert mit August 2021."
"FELDKIRCH Im Bergäcker 33 in Feldkirch hat eine 96,07 Quadratmeter große Wohnung (Baujahr 2020) für einen Quadratmeterpreis von 4997,31 Euro den Besitzer gewechselt. Käufer der Wohnung mit 134,39 Quadratmetern Garten und 14,29 Quadratmetern Terrasse sind mehrere Privatpersonen. Beim Verkäufer handelt es sich um die Swietelsky AG.  Der Kaufpreis liegt bei 480.092 Euro. Unterzeichnet wurde der Kaufvertrag am 31. Mai. Die Verbücherung datiert mit Juli 2021."
BLUDENZ Im Walserweg 18 in Bludenz wurde eine Wohnung (Baujahr 1969) mit einer Nutzfläche von 80 Quadratmetern um 270.000 Euro verkauft. Käufer wie auch Verkäufer der Wohnung sind Privatpersonen. Der Quadratmeterpreis der Wohnung beträgt 3375 Euro. Dieser beinhaltet auch einen Pkw-Abstellplatz. Unterzeichnet wurde der Kaufvertrag am 1. Oktober. Die Verbücherung datiert mit November 2021.
"SCHRUNS Im Bereich Doz.-Albrich-Weg in Schruns hat ein Grundstück den Besitzer gewechselt. Verkauft wurde der Grund um 258.000 Euro durch mehrere Privatpersonen, Käufer ist eine Privatperson. Das Grundstück mit einer Baufläche-Wohngebiet-Widmung hat eine Fläche von 590 Quadratmeter. Der Quadratmeterpreis des Bodens liegt bei 437,28 Euro. Unterzeichnet wurde der Kaufvertrag am 18. Mai. Die Verbücherung datiert mit November 2021."
"FELDKIRCH In der Hämmerlestraße 52 in Feldkirch hat eine 65,43 Quadratmeter große Wohnung (Baujahr 2012) den Besitzer gewechselt. Sowohl Verkäufer als auch Käufer sind Privatpersonen. Der Quadratmeterpreis der Wohnung liegt bei 5333,94 Euro. Dieser beinhaltet auch einen Pkw-Abstellplatz und einen Balkon. Unterzeichnet wurde der Kaufvertrag am 5. November. Die Verbücherung datiert mit Dezember 2021."
GAISSAU Die D.E. Invest Gmbh hat in der Hauptstraße in Gaißau ein 170 Quadratmeter großes Haus auf einem 759 Quadratmeter großen Grundstück für 280.000 Euro erworben. Beim Verkäufer der Immobilie mit einer Baufläche-Mischgebiet-Widmung handelt es sich um eine Privatperson. Unterzeichnet wurde der Kaufvertrag am 6. Dezember. Die Verbücherung datiert mit Februar 2020.
DORNBIRN In der Sandgasse 7 in Dornbirn hat ein Einfamilienhaus mit 145 Quadratmeter Baufläche auf einem 1086 Quadratmeter großen Grund einen neuen Eigentümer. Käufer des Wohnhauses ist die Hefel Immobilien GmbH. Beim Verkäufer handelt es sich um eine Privatperson. Der Kaufpreis liegt bei 1.346.640 Euro. Unterzeichnet wurde der Kaufvertrag am 3. September. Die Verbücherung datiert mit November 2020.
